,origin,model_year,name
28,usa,72,"ford gran torino (sw), plymouth satellite custom (sw), ford pinto (sw), dodge colt (sw), amc matador (sw), chevrolet chevelle concours (sw), oldsmobile delta 88 royale, chrysler newport royal, chevrolet vega, ford pinto runabout, chevrolet impala, dodge colt hardtop, plymouth fury iii, ford galaxie 500, amc ambassador sst, mercury marquis, buick lesabre custom, pontiac catalina"
29,usa,73,"amc gremlin, chevrolet vega, ford pinto, mercury capri v6, chevrolet monte carlo s, dodge dart custom, oldsmobile omega, oldsmobile vista cruiser, pontiac grand prix, plymouth custom suburb, amc hornet, chevrolet impala, buick century 350, amc matador, chevrolet malibu, dodge coronet custom, mercury marquis brougham, chevrolet caprice classic, ford ltd, plymouth fury gran sedan, ford gran torino, buick electra 225 custom, amc ambassador brougham, plymouth valiant, chevrolet nova custom, ford country, ford maverick, plymouth duster, chrysler new yorker brougham"
30,usa,74,"amc matador (sw), dodge colt, ford gran torino (sw), ford gran torino, buick century luxus (sw), dodge coronet custom (sw), plymouth duster, ford maverick, amc hornet, ford pinto, chevrolet nova, chevrolet vega, chevrolet chevelle malibu classic, amc matador, plymouth satellite sebring"
31,usa,75,"amc gremlin, pontiac astro, ford pinto, amc pacer, ford pinto, plymouth valiant custom, chevrolet monza 2+2, ford mustang ii, chevrolet nova, mercury monarch, pontiac catalina, chevrolet bel air, plymouth grand fury, ford maverick, buick century, chevroelt chevelle malibu, amc matador, plymouth fury, buick skyhawk, ford ltd"
32,usa,76,"ford pinto, pontiac ventura sj, amc pacer d/l, ford f108, cadillac seville, chevy c10, dodge d100, ford granada ghia, plymouth volare premier v8, dodge aspen se, capri ii, dodge colt, chevrolet chevelle malibu classic, dodge coronet brougham, amc matador, plymouth valiant, chevrolet nova, ford maverick, amc hornet, chevrolet chevette, chevrolet woody, ford gran torino"
33,usa,77,"pontiac sunbird coupe, ford mustang ii 2+2, chevrolet chevette, ford thunderbird, dodge colt m/m, chrysler cordoba, chevrolet monte carlo landau, plymouth arrow gs, buick opel isuzu deluxe, pontiac grand prix lj, oldsmobile cutlass supreme, chevrolet caprice classic, mercury cougar brougham, chevrolet concours, buick skylark, plymouth volare custom, ford granada, dodge monaco brougham"
34,usa,78,"chevrolet chevette, buick regal sport coupe (turbo), ford futura, dodge omni, dodge magnum xe, oldsmobile starfire sx, plymouth sapporo, chevrolet monte carlo landau, dodge aspen, amc concord d/l, oldsmobile cutlass salon brougham, dodge diplomat, mercury monarch ghia, ford fiesta, chevrolet malibu, ford fairmont (auto), ford fairmont (man), plymouth volare, amc concord, buick century special, mercury zephyr, pontiac phoenix lj"
35,usa,79,"amc spirit dl, oldsmobile cutlass salon brougham, plymouth horizon, plymouth horizon tc3, chevrolet citation, buick skylark limited, oldsmobile omega brougham, pontiac phoenix, dodge colt hatchback custom, cadillac eldorado, chrysler lebaron town @ country (sw), mercury zephyr 6, ford fairmont 4, amc concord dl 6, dodge aspen 6, chevrolet caprice classic, ford ltd landau, pontiac lemans v6, dodge st. regis, buick estate wagon (sw), ford country squire (sw), chevrolet malibu classic (sw), mercury grand marquis"
36,usa,80,"ford mustang cobra, dodge colt, chevrolet chevette, chevrolet citation, ford fairmont, amc concord, dodge aspen"
37,usa,81,"chrysler lebaron salon, buick century, oldsmobile cutlass ls, ford granada gl, ford escort 4w, ford escort 2h, plymouth reliant, buick skylark, dodge aries wagon (sw), plymouth reliant, chevrolet citation, plymouth horizon 4, plymouth champ"
38,usa,82,"oldsmobile cutlass ciera (diesel), buick century limited, chrysler lebaron medallion, dodge rampage, dodge charger 2.2, chevrolet camaro, ford mustang gl, ford granada l, mercury lynx l, plymouth horizon miser, amc concord dl, ford fairmont futura, pontiac phoenix, dodge aries se, pontiac j2000 se hatchback, chevrolet cavalier 2-door, chevrolet cavalier wagon, chevrolet cavalier, ford ranger, chevy s-10"
